,11
1414,0.0
1415,22.5077
1416,23.7358
1417,25.3467
1418,26.5237
1419,27.8592
1420,29.0656
1421,30.411
1422,31.7856
1423,33.2183
1424,34.5953
1425,35.9185
1426,38.6275
1427,41.2473
1428,43.8046
1429,46.3696
1430,48.9632
1431,51.4277
1432,54.2348
1433,57.2212
1434,60.0388
1435,62.7238
1436,65.5224
1437,68.0068
1438,70.594
1439,72.9342
1440,75.5889
1441,78.3633
1442,81.1028
1443,83.7774
1444,85.9561
1445,87.6453
1446,89.4969
1447,91.5108
1448,93.3772
1449,95.0961
1450,97.0078
1451,99.1123
1452,100.6695
1453,101.6795
1454,102.9195
1455,104.3896
1456,105.6956
1457,106.8374
1458,108.2235
1459,109.8537
1460,110.9906
1461,111.6342
1462,112.2187
1463,112.7442
1464,113.6113
1465,114.8199
1466,115.9532
1467,117.0113
1468,118.005
1469,118.9345
1470,119.5044
1471,119.7147
1472,120.0697
1473,120.5696
1474,120.5706
1475,120.5716
1476,120.5726
1477,120.5736
1478,120.5746
1479,120.5756
1480,120.5766
1481,120.5776
1482,120.5786
1483,120.5796
1484,120.5806
1485,120.5816
1486,120.5826
1487,120.5836
1488,120.5846
1489,120.5856
1490,120.5866
1491,120.5876
1492,120.5886
1493,120.5896
1494,120.5906
1495,120.5916
1496,120.5926
1497,120.5936
1498,120.5946
1499,120.5956
1500,120.5966
1501,120.5976
1502,120.5986
1503,120.5996
1504,120.6006
1505,120.6016
1506,120.6026
1507,120.6036
1508,120.6046
1509,120.6056
1510,120.6066
1511,120.6076
1512,120.6086
1513,120.6096
1514,120.6106
1515,120.6116
1516,120.6126
1517,120.6136
1518,120.6146
1519,120.6156
1520,120.6166
1521,120.6176
1522,120.6186
1523,120.6196
1524,120.6206
1525,120.6216
1526,120.6226
1527,120.6236
1528,120.6246
1529,120.6256
1530,120.6266
1531,120.6276
1532,120.6286
1533,120.6296
1534,120.6306
1535,120.6316
1536,120.6326
1537,120.6336
1538,120.6346
1539,120.6356
1540,120.6366
1541,120.6376
1542,120.6386
1543,120.6396
1544,120.6406
1545,120.6416
1546,120.6426
1547,120.6436
1548,120.6446
1549,120.6456
1550,120.6466
1551,120.6476
1552,120.6486
1553,120.6496
1554,120.6506
1555,120.6516
1556,120.6526
1557,120.6536
1558,120.6546
1559,120.6556
1560,120.6566
1561,120.6576
1562,120.6586
1563,120.6596
1564,120.6606
1565,120.6616
1566,120.6626
1567,120.6636
1568,120.6646
1569,120.6656
1570,120.6666
1571,120.6676
1572,120.6686
1573,120.6696
1574,120.6706
1575,120.6716
1576,120.6726
1577,120.6736
1578,120.6746
1579,120.6756
1580,120.6766
1581,120.6776
1582,120.6786
1583,120.6796
1584,120.6806
1585,120.6816
1586,120.6826
1587,120.6836
1588,120.6846
1589,120.6856
1590,120.6866
1591,120.6876
1592,120.6886
1593,120.6896
1594,120.6906
1595,120.6916
1596,120.6926
1597,120.6936
1598,120.6946
1599,120.6956
1600,120.6966
1601,120.6976
1602,120.6986
1603,120.6996
1604,120.7006
1605,120.7016
1606,120.7026
1607,120.7036
1608,120.7046
1609,120.7056
1610,120.7066
1611,120.7076
1612,120.7086
1613,120.7096
1614,120.7106
